ID,Titolo,Generi,Punteggio Medio,Rank,Popolarità,Stato,Autori
770,Gunnm: Last Order,"Action, Drama, Martial Arts, Sci-Fi, Seinen",8.14,542,766,finished,Yukito Kishiro
1297,Iryuu: Team Medical Dragon,"Award Winning, Drama, Medical, Psychological, Seinen",8.14,543,1591,finished,"Akira Nagai, Tarou Nogizaka"
1630,JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu,"Action, Adventure, Historical, Shounen, Vampire",8.14,544,132,finished,Hirohiko Araki
1695,Adolf ni Tsugu,"Award Winning, Drama, Historical, Military",8.14,545,778,finished,Osamu Tezuka
3042,Soredemo Machi wa Mawatteiru,"Award Winning, Seinen, Slice of Life",8.14,546,2025,finished,Masakazu Ishiguro
8070,Sengoku Youko,"Action, Adventure, Fantasy, Historical, Mythology, Shounen",8.14,547,996,finished,Satoshi Mizukami
8557,Kimi to Boku.,"Comedy, Drama, Romance, School, Shounen, Slice of Life",8.14,548,1890,finished,Kiichi Hotta
8652,Zankoku na Kami ga Shihai suru,"Award Winning, Boys Love, Drama, Psychological, Shoujo",8.14,549,2081,finished,Moto Hagio
11850,Keishichou Tokuhanka 007,"Detective, Shoujo, Supernatural",8.14,550,1974,finished,Eiri Kaji
10978,Major,"Award Winning, Comedy, Drama, Shounen, Sports, Team Sports",8.13,551,2996,finished,Takuya Mitsuda
96792,Kimetsu no Yaiba,"Action, Fantasy, Historical, Shounen",8.13,552,10,finished,Koyoharu Gotouge
21467,Hoshi Mamoru Inu,"Pets, Seinen, Slice of Life",8.13,554,965,finished,Takashi Murakami
26769,Bokura wa Minna Kawai-sou,"Romance, School, Seinen, Slice of Life",8.13,555,411,finished,Ruri Miyahara
111745,Tengoku Daimakyou,"Adventure, Mystery, Sci-Fi, Seinen",8.13,556,473,currently_publishing,Masakazu Ishiguro
